場,芝ダ,距離,条件1,条件2,条件3,種別,点数
中京,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中京,ダート,1800,調教師の所属が美浦,,,消し,1.56
阪神,ダート,1400,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,3.0
阪神,ダート,1400,前走の4コーナー通過順が4番手以内,前走着順が3着以内,性別が牡馬・セン,買い,3.0
阪神,ダート,1400,前走着順が3着以内,性別が牡馬・セン,枠番が6~8枠,買い,3.0
新潟,ダート,1800,前走着順が3着以内,性別が牡馬・セン,調教師の所属が栗東,買い,2.52
新潟,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,3.0
新潟,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,性別が牡馬・セン,買い,3.0
新潟,ダート,1800,馬齢が6歳以上,,,消し,1.73
新潟,ダート,1800,馬齢が5歳以上,,,消し,1.08
小倉,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,3.0
小倉,ダート,1700,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が3着以内,買い,3.0
小倉,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
小倉,ダート,1700,調教師の所属が美浦,,,消し,0.73
東京,芝,1600,騎手がルメール,,,買い,3.0
東京,芝,1600,前走着順が3着以内,,,買い,3.0
東京,芝,1600,前走着順が5着以内,,,買い,3.0
京都,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
京都,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
京都,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中京,ダート,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
中京,ダート,1400,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中京,ダート,1400,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,ダート,1400,調教師の所属が美浦,,,消し,1.63
中山,芝,1600,前走の4コーナー通過順が4番手以内,前走の馬体重が460kg以上,前走着順が3着以内,買い,3.0
中山,芝,1600,前走の馬体重が460kg以上,前走中央場所,前走着順が3着以内,買い,3.0
中山,芝,1600,前走の4コーナー通過順が4番手以内,前走着順が3着以内,性別が牡馬・セン,買い,3.0
阪神,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
阪神,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,2.81
阪神,ダート,1200,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,1.43
阪神,ダート,1200,馬齢が6歳以上,,,消し,3.0
新潟,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
新潟,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
新潟,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
東京,芝,1400,調教師の所属が美浦,騎手がルメール,,買い,3.0
東京,芝,1400,前走着順が9着以内,騎手がルメール,,買い,3.0
東京,芝,1400,馬齢が3歳以下,騎手がルメール,,買い,3.0
東京,芝,1400,馬齢が6歳以上,,,消し,2.89
東京,芝,1400,騎手が木幡巧也,,,消し,2.23
東京,芝,1800,騎手がルメール,,,買い,3.0
東京,芝,1800,前走中央場所,前走着順が3着以内,,買い,3.0
東京,芝,1800,前走着順が3着以内,馬齢が3歳以下,,買い,3.0
東京,芝,1800,馬齢が6歳以上,,,消し,1.74
東京,芝,1800,馬齢が5歳以上,,,消し,2.56
東京,芝,1800,騎手が柴田大知,,,消し,3.0
福島,ダート,1700,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
福島,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
福島,ダート,1700,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,3.0
福島,ダート,1700,馬齢が6歳以上,,,消し,1.87
福島,芝,1200,前走との間隔が中8週以上,前走の4コーナー通過順が4番手以内,前走着順が3着以内,買い,3.0
福島,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,調教師の所属が栗東,買い,3.0
福島,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が5着以内,馬齢が3歳以下,買い,3.0
中山,芝,2000,性別が牡馬・セン,馬齢が3歳以下,騎手が横山武史,買い,3.0
中山,芝,2000,前走中央場所,前走着順が3着以内,調教師の所属が美浦,買い,3.0
中山,芝,2000,前走着順が3着以内,性別が牡馬・セン,調教師の所属が美浦,買い,3.0
中山,芝,2000,馬齢が6歳以上,,,消し,1.72
阪神,芝,1600,前走の馬体重が460kg以上,前走着順が3着以内,,買い,3.0
阪神,芝,1600,前走着順が3着以内,性別が牡馬・セン,,買い,2.43
阪神,芝,1600,前走着順が3着以内,調教師の所属が栗東,,買い,3.0
阪神,芝,1600,馬齢が6歳以上,,,消し,1.71
中京,ダート,1200,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,ダート,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,ダート,1200,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,3.0
中京,ダート,1200,調教師の所属が美浦,,,消し,2.32
京都,ダート,1400,前走との間隔が中4週以内,前走の馬体重が460kg以上,前走着順が3着以内,買い,3.0
京都,ダート,1400,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
京都,ダート,1400,前走の馬体重が460kg以上,前走中央場所,前走着順が3着以内,買い,3.0
京都,ダート,1400,馬齢が6歳以上,,,消し,3.0
中京,芝,2000,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,芝,2000,前走着順が3着以内,馬齢が4歳以下,,買い,3.0
中京,芝,2000,前走着順が5着以内,,,買い,3.0
中京,芝,2000,馬齢が6歳以上,,,消し,0.92
中京,芝,2000,調教師の所属が美浦,,,消し,3.0
中京,芝,2000,馬齢が5歳以上,,,消し,1.27
札幌,ダート,1700,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
札幌,ダート,1700,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,2.81
札幌,ダート,1700,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,3.0
札幌,ダート,1700,馬齢が6歳以上,,,消し,1.04
中京,芝,1600,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,3.0
中京,芝,1600,前走着順が5着以内,性別が牡馬・セン,馬齢が4歳以下,買い,2.68
中京,芝,1600,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
小倉,芝,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
小倉,芝,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
小倉,芝,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
小倉,芝,1800,調教師の所属が美浦,,,消し,0.53
小倉,芝,1800,馬齢が6歳以上,,,消し,3.0
小倉,芝,1800,馬齢が5歳以上,,,消し,1.06
東京,ダート,2100,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
東京,ダート,2100,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,3.0
東京,ダート,2100,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,3.0
東京,ダート,2100,馬齢が6歳以上,,,消し,3.0
東京,ダート,2100,馬齢が5歳以上,,,消し,1.32
京都,ダート,1200,前走中央場所,前走着順が3着以内,調教師の所属が栗東,買い,3.0
京都,ダート,1200,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,3.0
京都,ダート,1200,前走との間隔が中8週以上,前走中央場所,前走着順が3着以内,買い,3.0
京都,ダート,1200,馬齢が6歳以上,,,消し,2.71
小倉,芝,2000,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,3.0
小倉,芝,2000,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,3.0
小倉,芝,2000,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,3.0
小倉,芝,2000,調教師の所属が美浦,,,消し,1.08
函館,芝,1200,馬齢が4歳以下,騎手が武豊,,買い,3.0
函館,芝,1200,調教師の所属が栗東,騎手が武豊,,買い,3.0
函館,芝,1200,性別が牝馬,騎手が横山武史,,買い,3.0
函館,芝,1200,馬齢が6歳以上,,,消し,0.6
福島,ダート,1150,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
福島,ダート,1150,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
福島,ダート,1150,前走との間隔が中4週以内,前走の馬体重が460kg以上,前走着順が3着以内,買い,3.0
福島,ダート,1150,馬齢が5歳以上,,,消し,1.3
福島,ダート,1150,馬齢が6歳以上,,,消し,1.81
京都,芝,1600,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
京都,芝,1600,前走着順が3着以内,前走着順が5着以内,馬齢が4歳以下,買い,3.0
京都,芝,1600,前走着順が3着以内,前走着順が9着以内,馬齢が4歳以下,買い,3.0
中山,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中山,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中山,芝,1200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,2.68
中山,芝,1200,馬齢が6歳以上,,,消し,2.05
東京,芝,2000,騎手がルメール,,,買い,3.0
東京,芝,2000,前走着順が3着以内,,,買い,3.0
東京,芝,2000,前走着順が5着以内,,,買い,2.8
東京,芝,2000,馬齢が6歳以上,,,消し,3.0
東京,芝,2000,馬齢が5歳以上,,,消し,1.79
中京,芝,1400,前走との間隔が中4週以内,前走着順が3着以内,,買い,3.0
中京,芝,1400,前走着順が3着以内,性別が牡馬・セン,調教師の所属が栗東,買い,3.0
中京,芝,1400,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が3着以内,買い,3.0
中京,芝,1400,馬齢が6歳以上,,,消し,3.0
中山,芝,1800,前走の馬体重が460kg以上,前走中央場所,前走着順が3着以内,買い,3.0
中山,芝,1800,出走頭数が14頭以下,前走の馬体重が460kg以上,前走着順が3着以内,買い,0.85
中山,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,2.94
中山,芝,1800,馬齢が6歳以上,,,消し,3.0
函館,ダート,1700,出走頭数が14頭以下,前走着順が3着以内,調教師の所属が栗東,買い,3.0
函館,ダート,1700,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,3.0
函館,ダート,1700,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
函館,ダート,1700,馬齢が6歳以上,,,消し,2.76
阪神,芝,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
阪神,芝,1400,前走の4コーナー通過順が4番手以内,前走着順が3着以内,,買い,3.0
阪神,芝,1400,前走着順が5着以内,馬齢が3歳以下,,買い,3.0
阪神,芝,1400,馬齢が6歳以上,,,消し,2.28
阪神,芝,2000,前走の4コーナー通過順が4番手以内,前走着順が3着以内,性別が牡馬・セン,買い,0.65
阪神,芝,2000,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,3.0
阪神,芝,2000,前走着順が3着以内,馬齢が3歳以下,,買い,2.98
新潟,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
新潟,芝,1800,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,3.0
新潟,芝,1800,前走着順が3着以内,前走着順が5着以内,馬齢が3歳以下,買い,3.0
新潟,芝,1800,馬齢が6歳以上,,,消し,1.02
小倉,ダート,1000,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
小倉,ダート,1000,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,3.0
小倉,ダート,1000,前走着順が3着以内,枠番が6~8枠,調教師の所属が栗東,買い,1.71
小倉,ダート,1000,調教師の所属が美浦,,,消し,1.1
福島,芝,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
福島,芝,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,3.0
福島,芝,1800,前走の4コーナー通過順が4番手以内,前走着順が5着以内,馬齢が3歳以下,買い,3.0
阪神,芝,1800,前走着順が3着以内,性別が牡馬・セン,枠番が6~8枠,買い,2.82
阪神,芝,1800,出走頭数が14頭以下,前走着順が3着以内,馬齢が4歳以下,買い,3.0
阪神,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,1.89
中京,ダート,1900,前走との間隔が中8週以上,前走中央場所,前走着順が5着以内,買い,3.0
中京,ダート,1900,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,3.0
中京,ダート,1900,前走との間隔が中8週以上,前走着順が3着以内,枠番が6~8枠,買い,3.0
中京,ダート,1900,馬齢が6歳以上,,,消し,2.86
東京,芝,2400,前走の馬体重が460kg以上,騎手がルメール,,買い,3.0
東京,芝,2400,前走着順が9着以内,騎手がルメール,,買い,3.0
東京,芝,2400,調教師の所属が美浦,騎手がルメール,,買い,3.0
東京,芝,2400,馬齢が5歳以上,,,消し,0.55
新潟,芝,1600,前走との間隔が中8週以上,前走着順が3着以内,性別が牝馬,買い,2.3
新潟,芝,1600,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,3.0
新潟,芝,1600,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
新潟,芝,1600,馬齢が6歳以上,,,消し,3.0
新潟,芝,1000,前走の4コーナー通過順が4番手以内,前走着順が5着以内,枠番が6~8枠,買い,3.0
新潟,芝,1000,前走着順が5着以内,枠番が6~8枠,馬齢が4歳以下,買い,3.0
新潟,芝,1000,前走との間隔が中4週以内,前走着順が5着以内,枠番が6~8枠,買い,3.0
新潟,芝,1000,枠番が1~3枠,,,消し,2.24
東京,ダート,1300,前走との間隔が中8週以上,前走着順が3着以内,,買い,3.0
東京,ダート,1300,前走着順が3着以内,前走着順が5着以内,,買い,3.0
東京,ダート,1300,前走着順が3着以内,前走着順が9着以内,,買い,3.0
新潟,芝,1400,前走中央場所,前走着順が5着以内,馬齢が3歳以下,買い,3.0
新潟,芝,1400,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,3.0
新潟,芝,1400,前走中央場所,前走着順が3着以内,前走着順が5着以内,買い,3.0
新潟,芝,2000,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,1.8
新潟,芝,2000,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,3.0
新潟,芝,2000,前走の4コーナー通過順が4番手以内,前走着順が3着以内,調教師の所属が栗東,買い,1.91
福島,芝,2000,前走着順が5着以内,調教師の所属が栗東,,買い,0.97
福島,芝,2000,前走との間隔が中8週以上,前走着順が5着以内,馬齢が4歳以下,買い,2.72
福島,芝,2000,前走との間隔が中4週以内,前走着順が5着以内,馬齢が4歳以下,買い,2.77
福島,芝,2000,馬齢が6歳以上,,,消し,2.31
京都,芝,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,3.0
京都,芝,1400,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
京都,芝,1400,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,3.0
中京,芝,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中京,芝,1200,前走着順が5着以内,性別が牡馬・セン,調教師の所属が栗東,買い,3.0
中京,芝,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
札幌,芝,1200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
札幌,芝,1200,前走の馬体重が460kg以上,前走着順が5着以内,馬齢が3歳以下,買い,3.0
札幌,芝,1200,前走着順が3着以内,馬齢が3歳以下,馬齢が4歳以下,買い,3.0
京都,芝,2000,前走中央場所,前走着順が3着以内,調教師の所属が栗東,買い,3.0
京都,芝,2000,前走中央場所,前走着順が5着以内,調教師の所属が栗東,買い,3.0
京都,芝,2000,前走との間隔が中8週以上,前走着順が5着以内,調教師の所属が栗東,買い,3.0
京都,芝,2000,調教師の所属が美浦,,,消し,3.0
京都,芝,1800,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が4歳以下,買い,3.0
京都,芝,1800,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,3.0
京都,芝,1800,前走着順が3着以内,前走着順が5着以内,馬齢が4歳以下,買い,3.0
新潟,芝,1200,前走着順が5着以内,性別が牡馬・セン,調教師の所属が美浦,買い,3.0
新潟,芝,1200,前走との間隔が中4週以内,前走着順が3着以内,調教師の所属が美浦,買い,3.0
新潟,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,調教師の所属が美浦,買い,3.0
中京,芝,2200,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,2.53
中京,芝,2200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,3.0
中京,芝,2200,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が3着以内,買い,2.0
中京,芝,2200,馬齢が6歳以上,,,消し,3.0
中京,芝,2200,調教師の所属が美浦,,,消し,3.0
札幌,芝,2000,出走頭数が12頭以下,前走着順が3着以内,馬齢が3歳以下,買い,3.0
札幌,芝,2000,出走頭数が12頭以下,前走着順が3着以内,馬齢が4歳以下,買い,3.0
札幌,芝,2000,出走頭数が12頭以下,前走の馬体重が460kg以上,前走着順が3着以内,買い,1.6
札幌,芝,2000,馬齢が6歳以上,,,消し,0.55
阪神,芝,1200,前走着順が3着以内,馬齢が4歳以下,,買い,3.0
阪神,芝,1200,前走着順が3着以内,馬齢が3歳以下,,買い,2.0
阪神,芝,1200,前走着順が3着以内,調教師の所属が栗東,,買い,3.0
阪神,芝,1200,馬齢が5歳以上,,,消し,1.5
京都,ダート,1900,前走の馬体重が500kg以上,前走着順が5着以内,性別が牡馬・セン,買い,2.54
京都,ダート,1900,前走の馬体重が500kg以上,前走着順が5着以内,前走着順が9着以内,買い,2.09
京都,ダート,1900,前走の馬体重が460kg以上,前走の馬体重が500kg以上,前走着順が5着以内,買い,2.09
中山,芝,2200,前走中央場所,前走着順が3着以内,調教師の所属が美浦,買い,3.0
中山,芝,2200,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,3.0
中山,芝,2200,前走着順が3着以内,調教師の所属が美浦,馬齢が4歳以下,買い,3.0
函館,芝,1800,前走着順が3着以内,馬齢が4歳以下,,買い,3.0
函館,芝,1800,前走着順が3着以内,馬齢が3歳以下,,買い,3.0
函館,芝,1800,前走の4コーナー通過順が4番手以内,前走着順が5着以内,馬齢が3歳以下,買い,3.0
函館,芝,1800,馬齢が6歳以上,,,消し,2.78
函館,芝,1800,馬齢が5歳以上,,,消し,2.88
阪神,ダート,2000,前走との間隔が中4週以内,前走着順が3着以内,,買い,3.0
阪神,ダート,2000,前走着順が3着以内,馬齢が4歳以下,,買い,2.46
阪神,ダート,2000,前走との間隔が中8週以上,前走着順が3着以内,,買い,3.0
阪神,ダート,2000,馬齢が6歳以上,,,消し,2.74
札幌,芝,1500,前走着順が3着以内,調教師の所属が美浦,,買い,2.97
札幌,芝,1500,前走着順が3着以内,馬齢が4歳以下,,買い,3.0
札幌,芝,1500,前走着順が3着以内,前走着順が5着以内,,買い,3.0
京都,芝,1200,前走との間隔が中4週以内,前走着順が5着以内,馬齢が4歳以下,買い,2.46
京都,芝,1200,前走の馬体重が460kg以上,枠番が6~8枠,馬齢が5歳以上,消し,1.77
京都,芝,1200,前走との間隔が中4週以内,馬齢が5歳以上,,消し,1.14
小倉,芝,2860,前走の4コーナー通過順が4番手以内,前走着順が5着以内,性別が牡馬・セン,買い,3.0
小倉,芝,2860,前走の4コーナー通過順が4番手以内,前走の馬体重が460kg以上,前走着順が5着以内,買い,3.0
小倉,芝,2860,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,3.0
小倉,芝,2860,騎手が草野太郎,,,消し,3.0
小倉,芝,2860,性別が牝馬,,,消し,2.01
函館,ダート,1000,前走の4コーナー通過順が4番手以内,前走着順が3着以内,枠番が6~8枠,買い,3.0
函館,ダート,1000,前走の4コーナー通過順が4番手以内,前走着順が5着以内,枠番が6~8枠,買い,3.0
函館,ダート,1000,前走着順が3着以内,前走着順が5着以内,枠番が6~8枠,買い,3.0
札幌,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,2.69
札幌,芝,1800,前走着順が3着以内,調教師の所属が美浦,馬齢が4歳以下,買い,2.78
札幌,芝,1800,前走着順が3着以内,調教師の所属が美浦,馬齢が3歳以下,買い,1.86
札幌,芝,1800,馬齢が5歳以上,,,消し,3.0
函館,芝,2000,前走着順が3着以内,馬齢が4歳以下,,買い,3.0
函館,芝,2000,前走着順が5着以内,馬齢が3歳以下,,買い,3.0
函館,芝,2000,前走着順が5着以内,調教師の所属が美浦,馬齢が4歳以下,買い,3.0
札幌,ダート,1000,前走の4コーナー通過順が4番手以内,前走着順が3着以内,枠番が6~8枠,買い,3.0
札幌,ダート,1000,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,3.0
札幌,ダート,1000,前走の4コーナー通過順が4番手以内,前走着順が5着以内,枠番が6~8枠,買い,3.0
札幌,ダート,1000,枠番が1~3枠,,,消し,1.63
阪神,芝,2400,前走着順が3着以内,,,買い,3.0
阪神,芝,2400,前走着順が5着以内,,,買い,1.5
阪神,芝,2400,馬齢が5歳以上,,,消し,1.81
福島,芝,2600,出走頭数が12頭以下,前走着順が5着以内,馬齢が4歳以下,買い,2.05
福島,芝,2600,出走頭数が14頭以下,前走との間隔が中8週以上,前走着順が5着以内,買い,2.36
福島,芝,2600,出走頭数が14頭以下,前走着順が5着以内,馬齢が4歳以下,買い,2.24
小倉,芝,2600,前走着順が5着以内,性別が牡馬・セン,馬齢が4歳以下,買い,3.0
小倉,芝,2600,出走頭数が14頭以下,前走着順が5着以内,性別が牡馬・セン,買い,3.0
小倉,芝,2600,前走着順が5着以内,前走着順が9着以内,性別が牡馬・セン,買い,3.0
小倉,芝,2600,馬齢が6歳以上,,,消し,3.0
中山,芝,2500,前走中央場所,前走着順が3着以内,性別が牡馬・セン,買い,0.8
中山,芝,2500,出走頭数が12頭以下,前走着順が5着以内,調教師の所属が美浦,買い,3.0
中山,芝,2500,出走頭数が14頭以下,前走中央場所,前走着順が3着以内,買い,2.19
中山,芝,2500,馬齢が6歳以上,,,消し,2.77
中山,ダート,2400,前走との間隔が中4週以内,前走着順が5着以内,性別が牡馬・セン,買い,0.62
中山,ダート,2400,前走との間隔が中4週以内,前走着順が5着以内,調教師の所属が美浦,買い,3.0
中山,ダート,2400,前走の馬体重が460kg以上,前走着順が5着以内,枠番が6~8枠,買い,3.0
中山,ダート,2400,馬齢が6歳以上,,,消し,3.0
新潟,芝,2200,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,2.34
新潟,芝,2200,前走との間隔が中8週以上,前走着順が5着以内,性別が牡馬・セン,買い,1.34
新潟,芝,2200,前走の4コーナー通過順が4番手以内,前走着順が5着以内,性別が牡馬・セン,買い,3.0
阪神,芝,2200,前走中央場所,前走着順が5着以内,馬齢が4歳以下,買い,3.0
阪神,芝,2200,前走着順が5着以内,馬齢が3歳以下,,買い,3.0
阪神,芝,2200,前走着順が5着以内,性別が牡馬・セン,馬齢が4歳以下,買い,3.0
新潟,芝,2850,前走着順が3着以内,性別が牡馬・セン,,買い,3.0
新潟,芝,2850,前走着順が3着以内,前走着順が5着以内,,買い,3.0
新潟,芝,2850,前走着順が3着以内,前走着順が9着以内,,買い,3.0
新潟,芝,2850,馬齢が3歳以下,,,消し,3.0
中山,ダート,2880,前走の馬体重が460kg以上,前走着順が3着以内,,買い,3.0
中山,ダート,2880,前走の馬体重が460kg以上,前走着順が5着以内,,買い,2.19
中山,ダート,2880,前走着順が5着以内,調教師の所属が栗東,,買い,3.0
新潟,芝,2890,前走との間隔が中8週以上,前走の4コーナー通過順が4番手以内,前走着順が3着以内,買い,1.92
新潟,芝,2890,出走頭数が12頭以下,前走の4コーナー通過順が4番手以内,前走の馬体重が460kg以上,買い,1.92
新潟,芝,2890,出走頭数が14頭以下,前走との間隔が中8週以上,前走着順が3着以内,買い,0.94
札幌,芝,2600,前走着順が3着以内,性別が牡馬・セン,,買い,3.0
札幌,芝,2600,前走着順が3着以内,前走着順が5着以内,,買い,3.0
札幌,芝,2600,前走着順が3着以内,前走着順が9着以内,,買い,3.0
