1,芝,1400,父がイスラボニータ,,,flagged
2,芝,1400,父がロードカナロア,,,confirmed
3,芝,1400,父がリオンディーズ,,,confirmed
4,芝,1600,父がキタサンブラック,,,flagged
5,芝,1600,父がエピファネイア,,,confirmed
6,芝,1600,父がディープインパクト,,,flagged
7,芝,1800,父がキタサンブラック,,,flagged
8,芝,1800,父がモーリス,,,confirmed
9,芝,1800,父がディープインパクト,,,flagged
10,芝,1800,父がエピファネイア,,,confirmed
11,芝,2000,父がエピファネイア,,,confirmed
12,芝,2000,父がキズナ,,,confirmed
13,芝,2000,父がディープインパクト,,,flagged
14,芝,2000,父がモーリス,,,confirmed
15,芝,2400,父がディープインパクト,,,flagged
16,芝,2400,父がハービンジャー,,,confirmed
17,ダート,1300,調教師が田村康仁,,,confirmed
18,ダート,1300,父がヘニーヒューズ,,,flagged
19,ダート,1400,父がドゥラメンテ,,,confirmed
20,ダ,1400,父がシニスターミニスター,,,confirmed
21,ダ,1400,父がLemon Drop Kid,,,flagged
22,芝,1400,父がドレフォン,,,confirmed
23,ダート,1600,父がホッコータルマエ,,,confirmed
24,ダ,1600,父がドレフォン,,,confirmed
25,ダ,1600,父がペニーヒューズ,,,flagged
26,ダート,1600,父がドゥラメンテ,,,confirmed
27,ダート,2100,父が中川公成,,,flagged
28,ダート,2100,父がキズナ,,,confirmed
29,芝,1600,馬主がダノックス,,,confirmed
30,芝,1800,馬主がシルクレーシング,,,confirmed
31,芝,2000m,父がディープインパクト,,,flagged
32,芝,2200,騎手が川田将雅,,,confirmed
33,ダート,1200,父がニスターミニスター,,,flagged
34,ダート,1400,父がロードカナロア,,,confirmed
35,芝,1600,父がソングライン,,,flagged
