1,芝,1200,父がロードカナロア,,,confirmed
2,芝,1200,父がビッグアーサー,,,flagged
3,芝,1600,父がロードカナロア,,,confirmed
4,芝,1400,父がロードカナロア,,,confirmed
5,芝,1800,父がディープインパクト,,,flagged
6,芝,2000,父がディープインパクト,,,flagged
7,芝,1600,父がドゥラメンテ,,,confirmed
8,芝,1800,父がキズナ,,,confirmed
9,芝,2000,父がシルバーステート,,,flagged
10,芝,2400,父がキズナ,,,confirmed
11,芝,2200,父がドゥラメンテ,,,confirmed
12,ダート,1200m,父がドレフォン,,,confirmed
13,ダート,1400,父がキズナ,,,confirmed
14,ダ,1800,父がシニスターミニスター,,,confirmed
15,ダート,1800,父がシニスターミニスター,,,confirmed
16,芝,1600,馬主が松本好雄,,,confirmed
17,ダート,2000,父がホッコータルマエ,,,confirmed
18,芝,1400,馬主がサンデーレーシング,,,confirmed
