1,芝,1200,父がアドマイヤマスタード,,,flagged
2,芝,1200,父がビッグアーサー,,,flagged
3,芝,1200,父がロードカナロア,,,confirmed
4,芝,1400,父がキズナ,,,confirmed
5,芝,1600,父がキズナ,,,confirmed
6,芝,1600,父がロードカナロア,,,confirmed
7,芝,2000,父がシルバーステート,,,flagged
8,芝,2000,父がハービンジャー,,,confirmed
9,芝,2000,父がノヴェリスト,,,flagged
10,ダート,1200,父がドレフォン,,,confirmed
11,芝,2200,父がハーツクライ,,,flagged
12,ダ,1200,父がシニスターミニスター,,,confirmed
13,ダート,1400,父がドゥラメンテ,,,confirmed
14,ダ,1400,父がロードカナロア,,,confirmed
15,ダート,1400,父がキズナ,,,confirmed
16,ダート,1800,父がキズナ,,,confirmed
17,ダ,1800,父がキズナ,,,confirmed
18,ダート,1900,父が松永幹夫,,,flagged
19,芝,1600,馬主が廣崎利洋H D,,,confirmed
20,ダート,1900,父がキズナ,,,confirmed
21,芝,1600,馬主がサンデーレーシング,,,confirmed
